      No     Day     Mon    Year  INConcob0000001  INConcsi0000001  INConcob0000002  INConcsi0000002  INConcob0000003  INConcsi0000003
     139      19       5    1997    -9999.0000000        3.9304261    -9999.0000000        1.1537992    -9999.0000000        1.2679223
     140      20       5    1997        3.5000000        3.9133229    -9999.0000000        1.1299685    -9999.0000000        1.2472256
     141      21       5    1997    -9999.0000000        3.8975959    -9999.0000000        1.0870964    -9999.0000000        1.2046767
     142      22       5    1997    -9999.0000000        3.8334961    -9999.0000000        1.1330657    -9999.0000000        1.2172636
     143      23       5    1997    -9999.0000000        3.7422742    -9999.0000000        1.1402234    -9999.0000000        1.1667638
     144      24       5    1997    -9999.0000000        3.7963116    -9999.0000000        1.0916081    -9999.0000000        1.1266438
     145      25       5    1997    -9999.0000000        3.8077538    -9999.0000000        1.0467545    -9999.0000000        1.0844559
     146      26       5    1997    -9999.0000000        3.8225047    -9999.0000000        1.0159537    -9999.0000000        1.0489370
     147      27       5    1997    -9999.0000000        3.8734929    -9999.0000000        1.0002906    -9999.0000000        1.0251584
     148      28       5    1997    -9999.0000000        3.9360430    -9999.0000000        0.9693808    -9999.0000000        0.9936425
     149      29       5    1997    -9999.0000000        3.9629048    -9999.0000000        0.9371136    -9999.0000000        0.9641932
     150      30       5    1997    -9999.0000000        4.0066255    -9999.0000000        0.9119178    -9999.0000000        0.9363948
     151      31       5    1997    -9999.0000000        4.0579051    -9999.0000000        0.8985378    -9999.0000000        0.9105415
     152       1       6    1997    -9999.0000000        4.1154106    -9999.0000000        0.8866516    -9999.0000000        0.8884924
     153       2       6    1997        4.8900000        4.1683980        1.0200000        0.8708744        0.9300000        0.8594265
     154       3       6    1997    -9999.0000000        4.2170053    -9999.0000000        0.8552657    -9999.0000000        0.8329121
     155       4       6    1997    -9999.0000000        4.2600529    -9999.0000000        0.8360227    -9999.0000000        0.8052666
     156       5       6    1997    -9999.0000000        4.2977756    -9999.0000000        0.8091113    -9999.0000000        0.7772035
     157       6       6    1997    -9999.0000000        4.3300592    -9999.0000000        0.7778028    -9999.0000000        0.7506406
     158       7       6    1997    -9999.0000000        4.3529867    -9999.0000000        0.7379263    -9999.0000000        0.7278886
     159       8       6    1997    -9999.0000000        4.3678111    -9999.0000000        0.6966655    -9999.0000000        0.7070795
     160       9       6    1997    -9999.0000000        4.3775433    -9999.0000000        0.6560861    -9999.0000000        0.6873061
     161      10       6    1997    -9999.0000000        4.3827313    -9999.0000000        0.6135828    -9999.0000000        0.6683341
     162      11       6    1997    -9999.0000000        4.3821701    -9999.0000000        0.5775930    -9999.0000000        0.6497349
     163      12       6    1997    -9999.0000000        4.3866024    -9999.0000000        0.5741029    -9999.0000000        0.6323129
     164      13       6    1997    -9999.0000000        4.4832550    -9999.0000000        0.5737066    -9999.0000000        0.6178399
     165      14       6    1997    -9999.0000000        4.5117301    -9999.0000000        0.5801066    -9999.0000000        0.6276422
     166      15       6    1997    -9999.0000000        4.5444966    -9999.0000000        0.5649945    -9999.0000000        0.6071062
     167      16       6    1997    -9999.0000000        4.5444974    -9999.0000000        0.5543297    -9999.0000000        0.5939623
     168      17       6    1997    -9999.0000000        4.5377459    -9999.0000000        0.5469520    -9999.0000000        0.5806430
     169      18       6    1997        4.8800000        4.5375019    -9999.0000000        0.5462320    -9999.0000000        0.5722051
     170      19       6    1997    -9999.0000000        4.5518803    -9999.0000000        0.5408704    -9999.0000000        0.5653597
     171      20       6    1997    -9999.0000000        4.5940271    -9999.0000000        0.5448055    -9999.0000000        0.5501178
     172      21       6    1997    -9999.0000000        4.6265720    -9999.0000000        0.5504475    -9999.0000000        0.5794645
     173      22       6    1997    -9999.0000000        4.6953238    -9999.0000000        0.5381684    -9999.0000000        0.5565764
     174      23       6    1997    -9999.0000000        4.6585010    -9999.0000000        0.5341766    -9999.0000000        0.5635026
     175      24       6    1997    -9999.0000000        4.6819494    -9999.0000000        0.5255117    -9999.0000000        0.5482522
     176      25       6    1997    -9999.0000000        4.6610312    -9999.0000000        0.5242947    -9999.0000000        0.5431713
     177      26       6    1997    -9999.0000000        4.6421929    -9999.0000000        0.5549851    -9999.0000000        0.5563393
     178      27       6    1997    -9999.0000000        4.5701812    -9999.0000000        0.5934943    -9999.0000000        0.5960559
     179      28       6    1997    -9999.0000000        4.6674936    -9999.0000000        0.5860766    -9999.0000000        0.5588522
     180      29       6    1997    -9999.0000000        4.5679797    -9999.0000000        0.5731932    -9999.0000000        0.5706315
     181      30       6    1997    -9999.0000000        4.5374281    -9999.0000000        0.5704684    -9999.0000000        0.5592747
     182       1       7    1997    -9999.0000000        4.4844410    -9999.0000000        0.5806389    -9999.0000000        0.5622789
     183       2       7    1997        4.4500000        4.4097508    -9999.0000000        0.5913483    -9999.0000000        0.5795232
     184       3       7    1997    -9999.0000000        4.4241436    -9999.0000000        0.5735339    -9999.0000000        0.5554023
     185       4       7    1997    -9999.0000000        4.3671140    -9999.0000000        0.5812799    -9999.0000000        0.5555385
     186       5       7    1997    -9999.0000000        4.3537291    -9999.0000000        0.5760027    -9999.0000000        0.5425625
     187       6       7    1997    -9999.0000000        4.4063791    -9999.0000000        0.5791800    -9999.0000000        0.5339879
     188       7       7    1997    -9999.0000000        4.4435673    -9999.0000000        0.5789195    -9999.0000000        0.5241866
     189       8       7    1997    -9999.0000000        4.5114995    -9999.0000000        0.5767257    -9999.0000000        0.5146840
     190       9       7    1997    -9999.0000000        4.5788597    -9999.0000000        0.5755615    -9999.0000000        0.5056271
     191      10       7    1997    -9999.0000000        4.6409396    -9999.0000000        0.5726760    -9999.0000000        0.4967374
     192      11       7    1997    -9999.0000000        4.6947800    -9999.0000000        0.5637268    -9999.0000000        0.4879502
     193      12       7    1997    -9999.0000000        4.7406974    -9999.0000000        0.5505464    -9999.0000000        0.4795987
     194      13       7    1997    -9999.0000000        4.7789132    -9999.0000000        0.5321682    -9999.0000000        0.4712196
     195      14       7    1997    -9999.0000000        4.8117781    -9999.0000000        0.5162249    -9999.0000000        0.4708577
     196      15       7    1997    -9999.0000000        4.8400970    -9999.0000000        0.5038828    -9999.0000000        0.4666204
     197      16       7    1997    -9999.0000000        4.7267054    -9999.0000000        0.5102194    -9999.0000000        0.4706423
     198      17       7    1997    -9999.0000000        4.8586876    -9999.0000000        0.5050887    -9999.0000000        0.4580002
     199      18       7    1997    -9999.0000000        4.5156391    -9999.0000000        0.5796164    -9999.0000000        0.5142125
     200      19       7    1997    -9999.0000000        4.1869928    -9999.0000000        0.6347302    -9999.0000000        0.5289256
     201      20       7    1997    -9999.0000000        3.6959923    -9999.0000000        0.9848098    -9999.0000000        0.8654987
     202      21       7    1997        2.9400000        3.8059676    -9999.0000000        1.1904820    -9999.0000000        1.0731006
     203      22       7    1997    -9999.0000000        3.9813006    -9999.0000000        1.1585745    -9999.0000000        1.0583484
     204      23       7    1997    -9999.0000000        4.1367706    -9999.0000000        1.4029591    -9999.0000000        1.0943048
     205      24       7    1997    -9999.0000000        4.1007491    -9999.0000000        1.3550508    -9999.0000000        1.0608370
     206      25       7    1997    -9999.0000000        3.9846846    -9999.0000000        1.4572626    -9999.0000000        1.1888595
     207      26       7    1997    -9999.0000000        3.9464830    -9999.0000000        1.4625641    -9999.0000000        1.1546066
     208      27       7    1997    -9999.0000000        3.9320798    -9999.0000000        1.4189226    -9999.0000000        1.1247063
     209      28       7    1997        3.2500000        3.8615722        1.2800000        1.3842527        0.8200000        1.1141653
     210      29       7    1997    -9999.0000000        3.8486817    -9999.0000000        1.4202868    -9999.0000000        1.1293216
     211      30       7    1997    -9999.0000000        3.8516200    -9999.0000000        1.4037766    -9999.0000000        1.1334193
     212      31       7    1997    -9999.0000000        3.8652960    -9999.0000000        1.4259303    -9999.0000000        1.1330614
     213       1       8    1997    -9999.0000000        3.8534441    -9999.0000000        1.3944887    -9999.0000000        1.1620982
     214       2       8    1997    -9999.0000000        3.8465413    -9999.0000000        1.3627134    -9999.0000000        1.1223210
     215       3       8    1997    -9999.0000000        3.8214334    -9999.0000000        1.3523546    -9999.0000000        1.0948732
     216       4       8    1997    -9999.0000000        3.8150471    -9999.0000000        1.3019747    -9999.0000000        1.0513027
     217       5       8    1997    -9999.0000000        3.8071923    -9999.0000000        1.2569037    -9999.0000000        1.0095707
     218       6       8    1997    -9999.0000000        3.8218648    -9999.0000000        1.2092692    -9999.0000000        0.9659276
     219       7       8    1997    -9999.0000000        3.8595634    -9999.0000000        1.1612538    -9999.0000000        0.9218579
     220       8       8    1997    -9999.0000000        3.9110317    -9999.0000000        1.1113531    -9999.0000000        0.8776208
     221       9       8    1997    -9999.0000000        3.9659410    -9999.0000000        1.0581221    -9999.0000000        0.8324105
     222      10       8    1997    -9999.0000000        4.0184340    -9999.0000000        1.0014050    -9999.0000000        0.7940554
     223      11       8    1997    -9999.0000000        4.0669653    -9999.0000000        0.9496347    -9999.0000000        0.7648209
     224      12       8    1997    -9999.0000000        4.1129937    -9999.0000000        0.9038183    -9999.0000000        0.7374344
     225      13       8    1997    -9999.0000000        4.1564596    -9999.0000000        0.8579464    -9999.0000000        0.7103016
     226      14       8    1997        5.2300000        4.1980110    -9999.0000000        0.8129967    -9999.0000000        0.6874736
     227      15       8    1997    -9999.0000000        4.2605485    -9999.0000000        0.7971544    -9999.0000000        0.6689499
     228      16       8    1997    -9999.0000000        4.3176753    -9999.0000000        0.7619006    -9999.0000000        0.6510035
     229      17       8    1997    -9999.0000000        4.3652886    -9999.0000000        0.7299955    -9999.0000000        0.6337163
     230      18       8    1997    -9999.0000000        4.4136213    -9999.0000000        0.7159510    -9999.0000000        0.6510089
     231      19       8    1997    -9999.0000000        4.4493800    -9999.0000000        0.6884344    -9999.0000000        0.6294728
